onset	duration	trial_type	response_time	accuracy
3e-04	2.165	CongMix	0.682	1
2.1833	2.384	CongMix	0.435	1
4.5823	2.895	IncongMix	0.579	1
7.4823	2.611	CongMix	0.495	1
10.0983	2.115	IncongMix	0.615	1
12.2153	2.819	CongMix	0.586	1
15.0473	2.113	IncongMix	0.73	1
17.1643	2.259	IncongMix	0.693	1
19.4303	2.096	IncongMix	0.779	1
21.5303	2.243	CongMix	0.526	1
23.7803	2.572	CongMix	0.772	1
26.3633	1.939	IncongMix	0.773	1
28.3123	2.637	CongMix	0.704	1
30.9623	2.248	IncongMix	0.614	1
33.2123	2.354	IncongMix	0.604	1
35.5783	2.364	IncongMix	0.614	1
37.9443	2.529	CongMix	0.679	1
40.4773	2.008	IncongMix	0.674	1
42.4943	2.733	IncongMix	0.633	1
45.2433	2.315	IncongMix	0.748	1
47.5603	2.489	IncongMix	0.623	1
50.0593	2.887	IncongMix	0.62	1
52.9593	2.381	CongMix	0.664	1
55.3423	2.9	IncongMix	0.784	1
58.2583	2.025	CongMix	0.892	1
60.2913	2.573	IncongMix	0.707	1
62.8743	2.526	IncongMix	0.66	1
65.4073	2.17	IncongMix	0.687	1
67.5903	2.132	CongMix	0.832	1
69.7233	1.05	CongMix	0	0
71.6733	2.617	CongMix	0.7	1
74.3063	2.895	CongMix	0.579	1
77.2053	2.731	IncongMix	0.632	1
79.9383	2.236	IncongMix	0.619	1
82.1883	2.325	IncongMix	0.609	1
84.5213	2.453	IncongMix	0.62	1
86.9873	2.671	CongMix	0.538	1
89.6703	1.962	CongMix	0.478	1
91.6373	1.916	IncongMix	0.583	1
93.5703	2.225	CongMix	0.658	1
95.8033	2.738	IncongMix	0.689	1
98.5523	2.848	CongMix	0.532	1
101.4023	2.447	CongMix	0.53	1
103.8523	2.701	IncongMix	0.568	1
106.5683	2.261	CongMix	0.595	1
108.8343	2.134	CongMix	0.617	1
110.9843	1.918	IncongMix	0.851	1
112.9173	2.373	CongMix	0.59	1
115.3003	2.02	IncongMix	0.687	1
117.3333	2.451	CongMix	0.718	1
119.7993	2.629	CongMix	0.596	1
122.4323	2.806	CongMix	0.507	1
125.2483	2.789	CongMix	0.506	1
128.0483	2.024	IncongMix	0.674	1
130.0813	2.318	CongMix	0.585	1
132.4143	2.093	CongMix	0.66	1
134.5143	2.435	CongMix	0.552	1
136.9633	2.573	IncongMix	0.607	1
139.5463	2.857	CongMix	0.624	1
142.4133	2.563	CongMix	0.58	1
144.9793	2.783	IncongMix	0.55	1
147.7793	2.208	CongMix	0.542	1
149.9953	2.281	CongMix	0.598	1
152.2783	2.176	IncongMix	0.643	1
154.4613	2.074	IncongMix	0.708	1
156.5443	2.869	IncongMix	0.553	1
159.4273	2.15	CongMix	0.501	1
161.5933	2.895	IncongMix	0.679	1
164.4933	2.72	IncongMix	0.587	1
167.2263	2.22	IncongMix	0.67	1
169.4593	2.694	CongMix	0.645	1
172.1583	1.789	CongMix	0.602	1
184.8233	2.409	Control1	0.592	1
187.2403	2.41	Control1	0.527	1
189.6563	2.427	Control1	0.511	1
192.0893	2.411	Control1	0.445	1
194.5053	2.416	Control1	0.517	1
196.9383	2.418	Control1	0.452	1
199.3713	2.407	Control1	0.507	1
201.7883	2.417	Control1	0.434	1
204.2213	2.408	Control1	0.841	1
206.6373	2.423	Control1	0.457	1
209.0703	2.416	Control1	0.583	1
211.5033	2.416	Control1	0.566	1
213.9363	2.405	Control1	0.605	1
216.3523	2.419	Control1	0.869	1
218.7853	2.418	Control1	0.852	1
221.2183	2.412	Control1	0.595	1
223.6353	2.416	Control1	0.466	1
226.0683	2.414	Control1	0.464	1
228.4843	2.417	Control1	0.584	1
230.9173	2.42	Control1	0.503	1
233.3503	2.406	Control1	0.39	1
235.7663	2.418	Control1	0.502	1
238.1993	2.425	Control1	0.509	1
240.6323	1.516	Control1	0	0
243.0483	2.407	Control1	0.524	1
245.4653	2.418	Control1	0.418	1
247.8983	2.424	Control1	0.457	1
250.3313	2.417	Control1	0.384	1
252.7643	2.405	Control1	0.455	1
255.1803	2.424	Control1	0.391	1
257.6133	2.415	Control1	0.382	1
260.0293	2.41	Control1	0.31	1
262.4463	2.41	Control1	0.444	1
264.8623	2.418	Control1	0.468	1
267.2953	2.418	Control1	0.435	1
269.7283	2.419	Control1	0.386	1
272.1613	2.409	Control1	0.393	1
274.5773	2.41	Control1	0.393	1
276.9943	2.415	Control1	0.416	1
279.4103	2.419	Control1	0.303	1
281.8433	2.419	Control1	0.486	1
284.2763	2.412	Control1	0.413	1
286.6923	2.421	Control1	0.621	1
289.1253	2.418	Control1	0.852	1
291.5583	2.419	Control1	0.403	1
293.9913	2.408	Control1	0.458	1
296.4083	2.417	Control1	0.368	1
298.8403	2.42	Control1	0.304	1
301.2733	2.417	Control1	0.751	1
303.7063	2.407	Control1	0.39	1
306.1233	2.42	Control1	0.437	1
308.5563	2.413	Control1	0.38	1
310.9723	2.413	Control1	0.78	1
313.3883	2.424	Control1	0.475	1
315.8213	2.404	Control1	0.354	1
318.2383	2.422	Control1	0.289	1
320.6713	2.423	Control1	0.456	1
323.1043	2.405	Control1	0.439	1
325.5203	2.412	Control1	0.479	1
327.9363	2.422	Control1	0.423	1
330.3693	2.418	Control1	0.285	1
332.8023	2.408	Control1	0.508	1
335.2193	2.412	Control1	0.379	0
337.6353	2.427	Control1	0.611	1
340.0683	2.411	Control1	0.578	1
342.4843	2.416	Control1	0.45	1
344.9013	2.413	Control1	0.513	1
347.3173	2.418	Control1	0.568	1
349.7503	2.41	Control1	0.527	1
352.1663	2.415	Control1	0.831	1
354.5833	2.413	Control1	0.63	1
356.9993	1.931	Control1	0.414	1
369.9643	2.254	CongMix	0.688	1
372.2303	2.803	CongMix	0.67	1
375.0463	2.362	IncongMix	0.662	1
377.4133	2.454	IncongMix	0.671	1
379.8793	2.391	CongMix	0.541	1
382.2793	2.893	IncongMix	0.644	1
385.1783	2.867	IncongMix	0.601	1
388.0613	2.517	IncongMix	0.534	1
390.5943	2.109	IncongMix	0.625	1
392.7113	2.899	IncongMix	0.532	1
395.6273	2.285	CongMix	0.552	1
397.9263	1.992	IncongMix	0.692	1
399.9263	1.945	IncongMix	0.612	1
401.8763	1.3	CongMix	0	0
404.0763	2.594	IncongMix	0.894	1
406.6753	2.319	IncongMix	0.703	1
409.0083	2.245	IncongMix	0.778	1
411.2583	2.217	IncongMix	0.6	1
413.4913	2.739	IncongMix	0.655	1
416.2413	2.085	CongMix	0.752	1
418.3403	2.701	CongMix	0.685	1
421.0563	2.361	IncongMix	0.561	1
423.4233	2.845	CongMix	0.546	1
426.2723	1.971	CongMix	0.705	1
428.2553	2.208	CongMix	0.858	1
430.4723	2.182	CongMix	0.649	1
432.6553	1.833	IncongMix	0	0
435.3883	2.326	CongMix	0.476	1
437.7213	2.682	CongMix	0.383	1
440.4203	2.242	CongMix	0.492	1
442.6703	2.435	CongMix	0.418	1
445.1203	2.64	CongMix	0.424	1
447.7693	2.167	CongMix	0.351	1
449.9523	2.242	IncongMix	0.559	1
452.2023	2.619	CongMix	0.453	1
454.8353	2.02	CongMix	0.42	1
456.8683	2.145	CongMix	0.395	1
459.0183	2.455	CongMix	0.589	1
461.4843	2.801	CongMix	0.435	1
464.3003	2.188	IncongMix	0.755	1
466.5003	1.911	IncongMix	0.395	1
468.4163	2.248	IncongMix	0.766	1
470.6663	1.233	CongMix	0	0
472.7993	1.9	CongMix	0	0
475.5993	2.098	IncongMix	0.599	1
477.6983	2.292	IncongMix	0.492	1
479.9983	2.701	IncongMix	0.552	1
482.7143	2.627	CongMix	0.428	1
485.3473	1.994	IncongMix	0.578	1
487.3473	2.547	CongMix	0.53	1
489.8973	2.877	CongMix	0.444	1
492.7803	2.72	IncongMix	0.553	1
495.5133	2.393	CongMix	0.46	1
497.9123	2.887	IncongMix	0.437	1
500.8123	2.568	IncongMix	0.568	1
503.3953	2.445	CongMix	0.529	1
505.8443	2.565	CongMix	0.448	1
508.4113	2.862	IncongMix	0.529	1
511.2773	2.614	CongMix	0.431	1
513.8933	2.742	IncongMix	0.559	1
516.6433	1.924	IncongMix	0.641	1
518.5763	2.85	CongMix	0.467	1
521.4423	2.065	IncongMix	0.681	1
523.5093	2.023	IncongMix	0.79	1
525.5423	1.183	CongMix	0	0
527.6253	1.049	CongMix	0	0
529.5743	1.667	CongMix	0	0
532.1413	1.283	IncongMix	0	0
534.3403	2.808	IncongMix	0.591	1
537.1573	2.368	CongMix	0.485	1
539.5403	2.125	IncongMix	0.742	1
541.6733	2.463	IncongMix	0.857	1
554.7383	2.4	Neutral1	0.567	1
557.1543	2.417	Neutral1	0.567	1
559.5873	2.42	Neutral1	0.47	1
562.0203	2.424	Neutral1	0.357	1
564.4533	2.408	Neutral1	0.708	1
566.8693	1.516	Neutral1	0	0
569.2853	2.416	Neutral1	0.516	1
571.7023	2.414	Neutral1	0.514	1
574.1183	2.415	Neutral1	0.466	1
576.5343	2.41	Neutral1	0.61	1
578.9513	2.427	Neutral1	0.577	1
581.3843	2.417	Neutral1	0.584	1
583.8173	2.411	Neutral1	0.511	1
586.2333	2.415	Neutral1	0.583	1
588.6493	2.416	Neutral1	0.566	1
591.0663	2.405	Neutral1	0.789	0
593.4823	2.414	Neutral1	0.581	1
595.8983	2.431	Neutral1	0.565	1
598.3313	2.413	Neutral1	0.78	1
600.7483	2.411	Neutral1	0.611	1
603.1643	2.41	Neutral1	0.611	1
605.5803	2.423	Neutral1	0.474	1
608.0133	2.418	Neutral1	0.569	1
610.4463	2.402	Neutral1	0.552	1
612.8633	2.426	Neutral1	0.559	1
615.2963	2.414	Neutral1	0.614	1
617.7123	2.407	Neutral1	0.558	1
620.1283	2.416	Neutral1	0.55	1
622.5613	2.424	Neutral1	0.524	1
624.9943	2.406	Neutral1	0.539	1
627.4113	2.426	Neutral1	0.626	1
629.8443	2.417	Neutral1	0.633	1
632.2773	2.413	Neutral1	0.696	1
634.6933	2.412	Neutral1	0.896	1
637.1093	1.517	Neutral1	0	0
639.5263	2.408	Neutral1	0.358	1
641.9423	2.423	Neutral1	0.406	1
644.3753	2.408	Neutral1	0.525	1
646.7913	2.414	Neutral1	0.581	1
649.2073	2.418	Neutral1	0.669	1
651.6403	2.423	Neutral1	0.524	1
654.0733	2.416	Neutral1	0.699	1
656.4903	1.517	Neutral1	0	0
658.9233	2.408	Neutral1	0.408	1
661.3393	2.42	Neutral1	0.504	1
663.7723	2.419	Neutral1	0.503	1
666.2053	2.407	Neutral1	0.574	1
668.6213	1.517	Neutral1	0	0
671.0383	1.517	Neutral1	0	0
673.4713	2.423	Neutral1	0.523	1
675.9043	2.417	Neutral1	0.434	1
678.3373	2.412	Neutral1	0.529	1
680.7533	2.417	Neutral1	0.401	1
683.1863	2.407	Neutral1	0.408	1
685.6023	2.413	Neutral1	0.496	1
688.0193	2.43	Neutral1	0.447	1
690.4523	2.41	Neutral1	0.477	1
692.8683	2.408	Neutral1	0.525	1
695.2843	2.415	Neutral1	0.549	1
697.7173	2.425	Neutral1	0.492	1
700.1503	2.415	Neutral1	0.731	1
702.5673	2.418	Neutral1	0.418	1
705.0003	2.413	Neutral1	0.713	0
707.4163	2.406	Neutral1	0.656	1
709.8323	1.517	Neutral1	0	0
712.2493	1.516	Neutral1	0	0
714.6813	2.416	Neutral1	0.383	1
717.0983	2.427	Neutral1	0.31	0
719.5313	2.407	Neutral1	0.557	1
721.9473	2.419	Neutral1	0.469	1
724.3803	2.408	Neutral1	0.475	1
726.7963	1.975	Neutral1	0.459	1
739.7613	2.377	CongMix	0.478	1
742.1443	2.746	IncongMix	0.646	1
744.8943	2.871	IncongMix	0.504	1
747.7773	2.907	IncongMix	0.541	1
750.6933	2.882	CongMix	0.649	1
753.5933	1.366	IncongMix	0	0
755.8593	2.84	CongMix	0.507	1
758.7093	2.627	CongMix	0.544	1
761.3423	2.183	IncongMix	0.567	1
763.5413	2.441	CongMix	0.608	0
765.9913	1.944	IncongMix	0.894	1
767.9413	2.582	IncongMix	0.616	1
770.5403	2.243	CongMix	0.377	1
772.7903	2.322	IncongMix	0.639	1
775.1233	2.261	CongMix	0.562	1
777.3893	2.818	CongMix	0.735	1
780.2223	2.711	IncongMix	0.878	1
782.9383	2.457	IncongMix	0.674	1
785.4053	1.017	IncongMix	0	0
787.3383	1.416	CongMix	0	0
789.6543	2.511	IncongMix	0.494	1
792.1713	2.685	CongMix	0.385	1
794.8703	2.613	CongMix	0.397	1
797.4863	2.564	CongMix	0.381	1
800.0533	2.573	IncongMix	0.59	1
802.6363	2.186	IncongMix	0.503	1
804.8353	1.923	IncongMix	0.64	1
806.7683	2.451	CongMix	0.451	1
809.2353	2.197	CongMix	0.448	1
811.4343	2.25	IncongMix	0.6	1
813.7013	1.65	CongMix	0	0
816.2673	2.13	IncongMix	0.647	1
818.4003	2.204	CongMix	0.538	1
820.6163	1.717	CongMix	0	0
823.2333	1.9	IncongMix	0	0
826.0493	2.15	CongMix	0.417	1
828.2153	2.214	IncongMix	0.514	1
830.4323	2.061	IncongMix	0.545	1
832.4983	2.388	CongMix	0.471	1
834.8983	2.279	CongMix	0.479	1
837.1813	2.529	CongMix	0.596	1
839.7143	2.697	IncongMix	0.631	1
842.4133	2.173	CongMix	0.54	1
844.5963	2.101	CongMix	0.484	1
846.7133	2.131	CongMix	0.431	1
848.8463	2.1	IncongMix	0.434	1
850.9623	2.441	CongMix	0.758	1
853.4123	1.966	IncongMix	0	0
856.2783	1.943	CongMix	0.61	0
858.2283	2.017	CongMix	0.7	1
860.2613	2.303	IncongMix	0.603	1
