"onset"	"duration"	"trial_type"	"response_time"	"accuracy"
3e-04	2.429	"Congruent1"	0.578	1
2.4353	2.406	"Congruent1"	0.471	1
4.8543	2.415	"Congruent1"	0.58	1
7.2723	2.419	"Congruent1"	0.434	1
9.7073	2.421	"Congruent1"	0.487	1
12.1423	2.404	"Congruent1"	0.436	1
14.5613	2.423	"Congruent1"	0.472	1
16.9963	2.41	"Congruent1"	0.341	1
19.4153	2.425	"Congruent1"	0.674	1
21.8503	2.406	"Congruent1"	0.455	1
24.2683	2.414	"Congruent1"	0.429	1
26.6873	2.408	"Congruent1"	0.474	1
29.1053	2.424	"Congruent1"	0.456	1
31.5413	2.407	"Congruent1"	0.556	1
33.9593	2.43	"Congruent1"	0.546	1
36.3943	2.408	"Congruent1"	0.39	1
38.8133	2.419	"Congruent1"	0.451	1
41.2483	2.416	"Congruent1"	0.432	1
43.6833	2.415	"Congruent1"	0.413	1
46.1023	2.412	"Congruent1"	0.594	1
48.5203	2.401	"Congruent1"	0.416	1
50.9393	2.427	"Congruent1"	0.509	1
53.3743	2.414	"Congruent1"	0.562	1
55.7933	2.417	"Congruent1"	0.399	1
58.2113	2.415	"Congruent1"	0.413	1
60.6303	2.401	"Congruent1"	0.433	1
63.0483	2.427	"Congruent1"	0.359	1
65.4833	2.402	"Congruent1"	0.484	1
67.9023	2.42	"Congruent1"	0.569	1
70.3373	2.424	"Congruent1"	0.606	1
72.7723	2.41	"Congruent1"	0.475	1
75.1913	2.408	"Congruent1"	0.44	1
77.6093	2.416	"Congruent1"	0.398	1
80.0283	2.412	"Congruent1"	0.443	1
82.4473	2.419	"Congruent1"	0.384	1
84.8823	2.42	"Congruent1"	0.452	1
87.3173	2.417	"Congruent1"	0.449	1
89.7523	2.407	"Congruent1"	0.438	1
92.1713	2.423	"Congruent1"	0.571	1
94.6063	2.411	"Congruent1"	0.376	1
97.0243	2.404	"Congruent1"	0.486	1
99.4433	2.429	"Congruent1"	0.411	1
101.8783	2.417	"Congruent1"	0.448	1
104.2973	2.402	"Congruent1"	0.501	1
106.7153	2.416	"Congruent1"	0.314	0
109.1343	2.417	"Congruent1"	0.415	1
111.5693	2.418	"Congruent1"	0.5	1
114.0043	2.41	"Congruent1"	0.425	1
116.4233	2.414	"Congruent1"	0.446	1
118.8413	2.41	"Congruent1"	0.508	1
121.2603	2.418	"Congruent1"	0.433	1
123.6953	2.423	"Congruent1"	0.438	1
126.1303	2.416	"Congruent1"	0.347	1
128.5493	2.419	"Congruent1"	0.384	1
130.9843	2.407	"Congruent1"	0.356	1
133.4023	2.412	"Congruent1"	0.394	1
135.8213	2.409	"Congruent1"	0.375	1
138.2393	2.423	"Congruent1"	0.621	1
140.6753	2.416	"Congruent1"	0.481	1
143.0933	2.413	"Congruent1"	0.495	1
145.5123	2.422	"Congruent1"	0.42	1
147.9473	2.412	"Congruent1"	0.361	1
150.3653	2.402	"Congruent1"	0.567	1
152.7843	2.428	"Congruent1"	0.427	1
155.2193	2.409	"Congruent1"	0.44	1
157.6383	2.422	"Congruent1"	0.437	1
160.0733	2.405	"Congruent1"	0.354	1
162.4913	2.417	"Congruent1"	0.432	1
164.9103	2.416	"Congruent1"	0.365	1
167.3283	2.414	"Congruent1"	0.779	1
169.7473	2.416	"Congruent1"	0.448	1
172.1653	1.899	"Congruent1"	0.398	0
185.0923	2.289	"CongMix"	0.454	1
187.3943	1.917	"IncongMix"	0.616	1
189.3293	2.81	"CongMix"	0.441	1
192.1483	2.14	"CongMix"	0.406	1
194.2993	2.865	"CongMix"	0.447	1
197.1683	2.692	"IncongMix"	0.49	1
199.8703	2.117	"IncongMix"	0.483	1
202.0053	2.197	"CongMix"	0.412	1
204.2073	2.891	"CongMix"	0.506	1
207.1093	2.241	"CongMix"	0.356	1
209.3613	2.898	"IncongMix"	0.496	1
212.2633	2.446	"CongMix"	0.394	1
214.7153	2.507	"IncongMix"	0.406	1
217.2333	2.388	"CongMix"	0.52	1
219.6353	2.129	"CongMix"	0.678	1
221.7703	2.626	"CongMix"	0.407	1
224.4063	2.143	"CongMix"	0.442	1
226.5573	2.454	"CongMix"	0.419	1
229.0263	2.544	"CongMix"	0.542	1
231.5783	2.865	"IncongMix"	0.646	1
234.4473	2.004	"IncongMix"	0.553	1
236.4653	2.625	"CongMix"	0.407	1
239.1003	2.798	"CongMix"	0.38	1
241.9023	2.377	"CongMix"	0.442	1
244.2883	2.735	"IncongMix"	0.416	1
247.0403	2.252	"IncongMix"	0.751	1
249.3083	2.502	"IncongMix"	0.467	1
251.8273	2.701	"CongMix"	0.516	1
254.5463	2.848	"CongMix"	0.429	1
257.3983	2.677	"CongMix"	0.409	1
260.0833	2.327	"CongMix"	0.476	1
262.4183	2.309	"IncongMix"	0.741	1
264.7373	2.249	"CongMix"	0.798	1
266.9883	2.817	"CongMix"	0.515	1
269.8073	2.64	"CongMix"	0.455	1
272.4593	1.996	"IncongMix"	0.411	1
274.4613	2.609	"CongMix"	0.457	1
277.0803	2.072	"IncongMix"	0.638	1
279.1643	2.401	"CongMix"	0.466	1
281.5833	1.933	"CongMix"	0.415	1
283.5183	2.178	"IncongMix"	0.56	1
285.7033	1.969	"CongMix"	0.351	1
287.6883	2.737	"IncongMix"	0.502	1
290.4403	2.724	"IncongMix"	0.606	1
293.1753	2.123	"IncongMix"	0.622	1
295.3103	2.557	"CongMix"	0.455	1
297.8793	2.358	"IncongMix"	0.574	1
300.2473	2.257	"IncongMix"	0.422	1
302.5163	2.083	"IncongMix"	0.649	1
304.6173	2.581	"IncongMix"	0.596	1
307.2033	2.184	"IncongMix"	0.45	1
309.4043	1.905	"IncongMix"	0.537	1
311.3233	2.094	"CongMix"	0.426	1
313.4243	2.574	"IncongMix"	0.389	1
316.0093	2.358	"IncongMix"	0.507	1
318.3783	2.893	"IncongMix"	0.658	1
321.2803	1.938	"IncongMix"	0.42	1
323.2323	2.906	"IncongMix"	0.404	0
326.1513	2.197	"IncongMix"	0.613	1
328.3523	2.802	"IncongMix"	0.484	1
331.1713	2.016	"IncongMix"	0.649	1
333.1893	2.248	"IncongMix"	0.463	1
335.4413	2.457	"IncongMix"	0.555	1
337.9103	2.087	"CongMix"	0.469	1
340.0113	2.748	"IncongMix"	0.68	1
342.7633	2.529	"CongMix"	0.56	1
345.2993	2.322	"IncongMix"	0.52	1
347.6343	2.019	"CongMix"	0.401	1
349.6693	2.438	"CongMix"	0.486	1
352.1213	2.174	"CongMix"	0.506	1
354.3063	2.219	"CongMix"	0.601	1
356.5413	2.323	"IncongMix"	0.366	1
369.9343	1.518	"Control1"	0	0
372.3533	2.427	"Control1"	0.425	1
374.7883	2.409	"Control1"	0.574	1
377.2073	2.412	"Control1"	0.411	1
379.6253	2.414	"Control1"	0.545	1
382.0443	2.417	"Control1"	0.382	1
384.4623	2.414	"Control1"	0.412	1
386.8813	2.412	"Control1"	0.344	1
389.2993	2.42	"Control1"	0.502	1
391.7343	2.422	"Control1"	0.387	1
394.1703	2.403	"Control1"	0.335	1
396.5883	2.415	"Control1"	0.597	1
399.0073	2.419	"Control1"	0.434	1
401.4423	2.417	"Control1"	0.399	1
403.8773	2.41	"Control1"	0.508	1
406.2963	2.421	"Control1"	0.369	1
408.7313	2.415	"Control1"	0.397	1
411.1493	2.409	"Control1"	0.507	1
413.5683	2.425	"Control1"	0.44	1
416.0033	2.399	"Control1"	0.397	1
418.4053	2.42	"Control1"	0.635	1
420.8403	2.411	"Control1"	0.392	1
423.2593	2.413	"Control1"	0.445	1
425.6773	2.422	"Control1"	0.371	1
428.1123	2.412	"Control1"	0.36	1
430.5313	2.422	"Control1"	0.421	1
